27/03/74, 24370, 1, 13.5
05/04/74, 24434, 1, 5.5
11/04/74, 24596, 1, 8.2
23/04/74, 24862, 2, 12.9
13/05/74, 24057, 2, 13.9
11/06/74, 24239, 3, 12.5
12/07/74, 24435, 1, 14.2
19/07/74, 24713, 4, 12.4
28/07/74, 24135, 2, 14.1
07/08/74, 24384, 3, 13.1
08/08/74, 24712, 4, 13.1
16/08/74, 24997, 3, 13.1
22/08/74, 24068, 2, 13.1
22/08/74, 24362, 5, 13.1
23/08/74, 24606, 5, 13.1
25/08/74, 24913, 6, 13.1
26/08/74, 24163, 7, 13.1
26/08/74, 24487, 7, 13.1
27/08/74, 24771, 8, 13.1
28/08/74, 24114, 9, 13.1
28/08/74, 24337, 1, 13.1
28/08/74, 24661, 10, 13.1
29/08/74, 24912, 4, 13.1
29/08/74, 24147, 5, 13.1
30/08/74, 24317, 1, 13.1
31/08/74, 24643, 11, 13.1
06/09/74, 24878, 5, 13.1
10/09/74, 24182, 5, 13.1
14/09/74, 24467, 11, 13.1
18/09/74, 24711, 3, 13.1
24/09/74, 24984, 3, 13.1
27/09/74, 24225, 3, 13.1
01/10/74, 24455, 3, 13.1
